,0
0,6.26082859677918e-06
1,1.689691434752854e-08
2,0.0001410819485590261
3,4.827660236516798e-05
4,7.662810894787131e-05
5,4.91636001427804e-05
6,6.669111463009607e-05
7,5.914917072565087e-05
8,5.4459780268804525e-05
9,5.50892759234914e-05
10,4.849815408364012e-05
11,5.964759336510867e-05
12,5.5104274437870676e-05
13,5.442919131394024e-05
14,5.258459535018609e-05
15,5.2985286650011414e-05
16,5.497176831121221e-05
17,5.168224373990981e-05
18,4.939967927701399e-05
19,5.125978037542774e-05
20,4.749478942832495e-05
21,4.394312602590945e-05
22,3.656153722857905e-05
23,3.070899815616141e-05
24,2.5143090438153365e-05
25,1.9390800536587936e-05
26,2.09664989071157e-05
27,1.3423491025271133e-05
28,1.1057745281075673e-05
29,2.5921958329017827e-06
30,-2.613409573457857e-07
31,-1.8979261977754478e-07
32,-4.723597663952802e-06
33,-9.916968902446763e-06
34,-8.265879207443848e-06
35,-9.227124671148633e-06
36,-5.601579535125804e-06
37,-8.761678233843013e-06
38,-1.3158103371817205e-05
39,-1.3615648204590051e-05
40,-1.3778292951668809e-05
41,-1.2933422618810281e-05
42,-1.913857935217738e-05
43,-1.89904198657081e-05
44,-2.2753598956128775e-05
45,-2.4148499231740257e-05
46,-2.0836499052544584e-05
47,-2.2864681994668377e-05
48,-2.5868812591569665e-05
49,-2.697495438219668e-05
50,-2.969797003364355e-05
51,-3.3966389737552615e-05
52,-3.631125334881009e-05
53,-4.241896391015874e-05
54,-5.03167571573481e-05
55,-5.2216154120034425e-05
56,-5.111208624341338e-05
57,-4.757236002517737e-05
58,-4.5894574015400314e-05
59,-4.2665211980133885e-05
60,-3.142379336382817e-05
61,-2.7584558240277455e-05
62,-3.053740444904481e-05
63,-3.313420529860541e-05
64,-2.863096957073826e-05
65,-3.799784692326321e-05
66,-4.358269192491281e-05
67,-4.168322067840481e-05
68,-4.113991212378244e-05
69,-3.7932289434349076e-05
70,-3.384105865167677e-05
71,-3.073224505597516e-05
72,-2.190758948604628e-05
73,-2.6936682713138336e-05
74,-2.795860750833176e-05
75,-2.9234036297948322e-05
76,-3.790498915756932e-05
77,-3.30659978553871e-05
78,-3.481719926790651e-05
79,-2.111381101813715e-05
80,-5.659037725487249e-06
81,3.8460537506402625e-06
82,6.069270747983079e-06
83,1.5194458538578622e-05
84,2.7218891737539383e-05
85,1.793209866148765e-05
86,2.616463545035087e-05
87,3.715583413833799e-05
88,4.0814426340393076e-05
89,3.6777968380936254e-05
90,4.122970556252474e-05
91,4.327088557364835e-05
92,4.8117574465601824e-05
93,5.3081700189480305e-05
94,5.7169440535111755e-05
95,6.934029698982711e-05
96,6.572290444126834e-05
97,6.779652263746477e-05
98,6.679289280763569e-05
99,6.839818033945949e-05
100,8.09693684156887e-05
101,8.858994123189597e-05
102,9.115552363351485e-05
103,9.972638267691978e-05
104,0.00010571282233932537
105,0.00011488954874805243
106,0.00013478326518798046
107,0.00014240610593473525
108,0.00013014836369537296
109,0.0001217868841284285
110,0.00012788786557129525
111,0.00013647976318178733
112,0.000147985111578794
113,0.00014638357514223067
114,0.00014645068064720676
115,0.00014399129550957308
116,0.00013823117945401808
117,0.00014164766084644962
118,0.00013467931755218216
119,0.00012272531337133386
120,0.00011689953139769479
121,0.00010945664898414651
122,0.00010905607877500333
123,9.818703038899396e-05
124,9.016129708753535e-05
125,0.00010157889618405581
126,0.00010612442923351821
127,9.535841893134352e-05
128,8.013759665294155e-05
129,7.306765574318132e-05
130,7.31563382203098e-05
131,6.903573437850238e-05
132,7.832570847151326e-05
133,6.758840286615644e-05
134,5.395866479972609e-05
135,1.7271283244102825e-05
136,4.672373957564982e-06
137,2.841176847698146e-06
138,-1.597936911177578e-05
139,-4.422253762613412e-05
140,-6.861291769051604e-05
141,-8.670470529786452e-05
142,-9.451815509390101e-05
143,-0.00011770815954491475
144,-0.00013421452192928537
145,-0.00013405964731770544
146,-0.0001369380496649038
147,-0.00012860398334129094
148,-0.00013704920696842459
149,-0.0001595105728459797
150,-0.00014939126354500084
151,-0.00014997271394393783
152,-0.00014012428868120163
153,-0.00013846781453597814
154,-0.0001554949254126381
155,-0.00016873162172059095
156,-0.0001745476613543382
157,-0.00016704787499825693
158,-0.00017915974852970672
159,-0.00018137978459075677
160,-0.00019326671427780074
161,-0.00021301108243526828
162,-0.0002023837202299325
163,-0.00019574589800048958
164,-0.00018312023383837514
165,-0.00017699243355297748
166,-0.00017244399034678823
167,-0.00018026410095628675
168,-0.00020635036127981032
169,-0.000217539243777127
170,-0.00021458849355470046
171,-0.00020125080822565327
172,-0.000177985686552071
173,-0.0001600127977835179
174,-0.00015056770717636694
175,-0.00013949013990048855
176,-0.00013611532104199393
177,-0.0001300674957465442
178,-0.0001276637575181781
179,-0.00012598102945900517
180,-0.00013052630706367188
181,-0.00013581860326732404
182,-0.0001262941942417246
183,-0.00011457872989764828
184,-0.0001037117703874999
185,-9.114137965764992e-05
186,-7.409090834622084e-05
187,-8.957940409078032e-05
188,-8.816390418125553e-05
189,-8.732363250642678e-05
190,-9.629993548244526e-05
191,-7.13942171027077e-05
192,-4.7533087805621424e-05
193,-1.0948251990144392e-05
194,1.223367967158077e-05
195,1.9589396396813836e-05
196,1.972649570740715e-05
197,1.6705699795483134e-05
198,1.7692127057211417e-05
199,1.7596458952011045e-05
200,3.291670507329812e-05
201,3.7128069723866994e-05
202,3.8926618936651815e-05
203,4.647369025640986e-05
204,4.5919879077667964e-05
205,7.105035652407386e-05
206,0.00010216434423973654
207,0.0001271077917936498
208,0.0001416364567301098
209,0.0001319438064090014
210,0.00014202190379865147
211,0.0001411354093572757
212,0.00015745925660565397
213,0.00016249001958346216
214,0.00018101023209273216
215,0.0001696193211799887
216,0.0001765775676243546
217,0.00017451236676854065
218,0.0001758171899884374
219,0.00018169460997593338
220,0.00019422848756790287
221,0.00018826750291435455
222,0.0001688814363775653
223,0.000165560747171145
224,0.00015497258963549654
225,0.00017330909049750572
226,0.00017476028826489892
227,0.00016975019525851057
228,0.00016257492107678507
229,0.00012470597693897098
230,0.00011981719397514397
231,7.738612580177013e-05
232,4.059040049054293e-05
233,-1.6393272892106248e-06
234,-2.2382497020489486e-05
235,-5.395394927611484e-05
236,-5.4172710717681785e-05
237,-7.023495245623292e-05
238,-8.412851735622954e-05
239,-0.00010571929697472024
240,-0.00012219081347153112
241,-0.00016618531926313674
242,-0.00022904402589410752
243,-0.00027184246534630067
244,-0.0003223478183552313
245,-0.00033037846263128445
246,-0.00036507414976229806
247,-0.00039390685159030697
248,-0.0004264213807072613
249,-0.00045781221532949164
250,-0.0004741515391943659
251,-0.0005267588561105053
252,-0.0005867510979232057
253,-0.0006620255924690748
254,-0.0007012822604029858
255,-0.0007275543726812335
256,-0.0007299798503142042
257,-0.0007624254081818094
258,-0.0007765386427526587
259,-0.0008028840389796891
260,-0.0008104171309326362
261,-0.0008459146454411923
262,-0.000888954912747683
263,-0.000901527493934027
264,-0.0008891059936697639
265,-0.0008547536080857739
266,-0.0008361731358872461
267,-0.0008428209786242385
268,-0.0008667469444550214
269,-0.0008699477468862634
270,-0.0008339685456911185
271,-0.0008481321611814
272,-0.0008484485503705495
273,-0.0008489765297002159
274,-0.0008231967032921298
275,-0.0007922737898920566
276,-0.0007806225135763133
277,-0.000754386896322468
278,-0.0007383734154926221
279,-0.00075223303376884
280,-0.0007399334828768394
281,-0.0007642179124009145
282,-0.0007310200181732459
283,-0.0006655111482997409
284,-0.0006229142507451783
285,-0.0005634977753304327
