,gx
0,0.0480652
1,0.0535181
2,0.0588303
3,0.0635872
4,0.0672046
5,0.0694096
6,0.0705256
7,0.0708848
8,0.0699362
9,0.0679937
10,0.0654615
11,0.0628079
12,0.0597163
13,0.0564327
14,0.0538537
15,0.0517439
16,0.0500694
17,0.0489178
18,0.0483997
19,0.0482041
20,0.0479566
21,0.0474583
22,0.0475487
23,0.0478325
24,0.0485902
25,0.0498112
26,0.0502494
27,0.0498622
28,0.0493554
29,0.0482056
30,0.046528
31,0.0446419
32,0.0416591
33,0.0382474
34,0.0350383
35,0.0318868
36,0.028691
37,0.0258086
38,0.0233053
39,0.0208589
40,0.0189604
41,0.0177103
42,0.0168342
43,0.0158412
44,0.0153643
45,0.0149327
46,0.0135801
47,0.012028
48,0.0110899
49,0.0103034
50,0.00914174
51,0.0076757
52,0.00582876
53,0.00366401
54,0.00126807
55,-0.00118046
56,-0.00389536
57,-0.00644193
58,-0.00901633
59,-0.0116856
60,-0.0139034
61,-0.0156948
62,-0.0165851
63,-0.016717
64,-0.0166751
65,-0.0168608
66,-0.0168233
67,-0.0157793
68,-0.0137171
69,-0.0111881
70,-0.0087351
71,-0.00637393
72,-0.00411548
73,-0.00229327
74,-0.000764123
75,0.000247479
76,0.000141795
77,-6.49223e-05
78,-0.00065688
79,-0.00135155
80,-0.00182892
81,-0.00234357
82,-0.00175958
83,-0.00039574
84,0.0012402
85,0.00264486
86,0.00430464
87,0.00663446
88,0.00906667
89,0.0110725
90,0.0125845
91,0.0140146
92,0.0157425
93,0.0174865
94,0.0189317
95,0.0190447
96,0.0182291
97,0.017708
98,0.0172198
99,0.0173371
100,0.0177032
101,0.0180015
102,0.018497
103,0.018819
104,0.0185677
105,0.0181474
106,0.0174034
107,0.01645
108,0.0152429
109,0.0135561
110,0.0113111
111,0.00904963
112,0.00698458
113,0.00512139
114,0.0035239
115,0.0015968
116,-0.000154866
117,-0.00125006
118,-0.00158473
119,-0.00138978
120,-0.000649774
121,-4.76906e-07
122,0.000967761
123,0.00223653
124,0.00367776
125,0.00581064
126,0.00819476
127,0.0105717
128,0.0131591
129,0.0152924
130,0.0168643
131,0.0173347
